img,node,cosine
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.0,0.958339
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.1,0.969807
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.2,0.989627
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.0,0.939331
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.1,0.949957
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.2,0.998983
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.0,0.995903
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.1,0.989611
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.cv1,0.982892
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.m.0,0.985278
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.cv2,0.979389
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.3,0.978248
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.cv1,0.9646
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.m.0,0.988847
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.m.1,0.991362
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.cv2,0.960538
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.5,0.950089
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.cv1,0.939341
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.m.0,0.973118
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.m.1,0.981932
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.cv2,0.958664
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.7,0.949196
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.cv1,0.946866
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.m.0,0.967928
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.cv2,0.963716
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.11,0.969089
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.cv1,0.973438
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.m.0,0.970462
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.cv2,0.973156
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.14,0.966364
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.cv1,0.98981
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.m.0,0.98654
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.cv2,0.984847
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.16,0.954547
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.17,0.964442
