img,node,cosine
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.1,0.995807
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.2.cv1,0.990683
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.2.m.0,0.991041
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.2.cv2,0.989036
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.3,0.990116
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.4.cv1,0.985823
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.4.m.0,0.993444
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.4.m.1,0.994851
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.4.cv2,0.982418
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.5,0.97819
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.6.cv1,0.972195
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.6.m.0,0.981206
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.6.m.1,0.988108
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.6.cv2,0.978015
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.7,0.9693
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.8.cv1,0.966642
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.8.m.0,0.976858
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.8.cv2,0.970928
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.11,0.979549
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.12.cv1,0.983657
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.12.m.0,0.975217
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.12.cv2,0.974622
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.14,0.977851
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.15.cv1,0.992716
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.15.m.0,0.993194
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.15.cv2,0.99073
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.16,0.979159
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.17,0.976254
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.18.cv1,0.978537
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.18.m.0,0.983631
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.18.cv2,0.986412
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.19,0.979946
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.20,0.980099
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.21.cv1,0.977592
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.21.m.0,0.981827
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.21.cv2,0.980345
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.0.0,0.98508
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.0.1,0.988289
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.0.2,0.995676
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.0.0,0.974665
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.0.1,0.974068
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.0.2,0.999633
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.1.0,0.984345
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.1.1,0.991701
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.1.2,0.996953
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.1.0,0.981623
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.1.1,0.980719
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.1.2,0.999357
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.0,0.987764
